Category;Id;Name;LevelName;Code;Area;Length
Floors;1667236;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;35.087400000025468;0
Floors;1667337;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;2.031585000000975;0
Floors;1667360;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;8.1692999999662934;0
Floors;1667732;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;10.052399999671014;0
Walls;1667798;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;2.188320000001839;5.8200000000032777
Walls;1667799;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.28199999998927816;0.74999999997127653
Walls;1667800;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;4.8428800000027241;12.880000000003674
Walls;1667801;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.28199999998927816;0.74999999997127653
Walls;1667802;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.68432000000005389;1.8199999999996384
Walls;1667803;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.16919999998954777;0.44999999997207668
